4689-T,東証1部,ヤフー,日足,,,
日付,始値,高値,安値,終値,出来高,売買代金
2014-3-28,495,516,488,514,101345500,51038019600
2014-3-27,538,549,532,549,21036400,11430232300
2014-3-26,570,576,562,570,12051800,6856759600
2014-3-25,578,580,567,572,10415800,5964019400
2014-3-24,561,591,561,584,14799600,8633668900
2014-3-20,579,581,567,567,9674900,5541366400
2014-3-19,579,588,574,578,15334500,8887531000
2014-3-18,584,587,568,578,19907000,11480413200
2014-3-17,580,585,568,571,13641400,7847126000
2014-3-14,589,597,582,583,18734300,11036621400
2014-3-13,617,622,611,613,7503300,4634804700
2014-3-12,621,626,616,620,11792600,7310167100
2014-3-11,636,644,631,636,7660500,4885393100
2014-3-10,636,644,634,637,8101200,5168445200
2014-3-7,636,639,627,637,11592800,7351434700
2014-3-6,624,633,617,629,9511100,5970786000
2014-3-5,627,629,621,622,7003800,4368546000
2014-3-4,613,622,611,617,8680200,5355080300
2014-3-3,625,630,609,622,13621000,8442912600
2014-2-28,639,647,630,645,13690600,8745803500
2014-2-27,642,644,634,638,8248100,5266433800
2014-2-26,644,652,641,642,11097800,7151330400
2014-2-25,643,663,638,654,27487100,17928183600
2014-2-24,630,641,622,637,15149500,9572587400
2014-2-21,625,632,621,630,12552500,7876807700
2014-2-20,621,629,606,611,12043200,7400172500
2014-2-19,621,629,615,623,14780000,9169332000
2014-2-18,615,632,610,631,18605600,11579606500
2014-2-17,618,633,613,624,19847500,12365505400
2014-2-14,610,618,600,613,24738800,15089163400
2014-2-13,603,613,589,591,12283400,7348969600
2014-2-12,600,609,592,602,11577000,6966463500
2014-2-10,580,595,577,592,14192000,8342474700
2014-2-7,567,569,555,566,10843900,6093694500
2014-2-6,554,567,551,560,9947100,5560841800
2014-2-5,575,579,542,552,18536600,10330369500
2014-2-4,561,574,550,551,22646000,12695998300
2014-2-3,588,599,577,590,19685500,11607449400
2014-1-31,589,602,576,584,14445600,8483827800
2014-1-30,609,610,577,589,33591900,19905941900
2014-1-29,598,606,590,592,18504100,11058974900
2014-1-28,598,606,589,589,12309100,7350453100
2014-1-27,595,609,592,599,19549200,11785489600
2014-1-24,608,616,604,615,17353600,10594627600
2014-1-23,635,636,619,620,23685200,14834911700
2014-1-22,633,649,628,640,35145500,22508704000
2014-1-21,619,640,618,629,20771700,13074132200
2014-1-20,616,618,609,613,8669700,5312777700
2014-1-17,620,623,612,619,10678100,6599870100
2014-1-16,612,628,610,619,23677300,14647038400
2014-1-15,640,642,615,618,29457700,18390625900
2014-1-14,640,643,620,623,34147300,21580223300
2014-1-10,642,668,636,664,43245800,28212944900
2014-1-9,629,656,628,637,32520300,20808573300
2014-1-8,595,645,589,635,49708900,30947919900
2014-1-7,594,598,581,585,12868800,7564893600
2014-1-6,592,600,590,592,16405700,9746809400
2013-12-30,590,594,581,585,10938800,6427247900
2013-12-27,586,587,579,583,6052000,3526927500
2013-12-26,577,584,575,582,7852600,4558652800
2013-12-25,570,578,568,576,9293400,5332217700
2013-12-24,587,589,575,576,13163500,7665237100
2013-12-20,578,587,578,585,21333100,12438380000
2013-12-19,576,595,575,584,26416600,15484513400
2013-12-18,570,578,567,570,19346600,11069629100
2013-12-17,547,566,547,565,20394400,11432566200
2013-12-16,564,565,546,547,21483100,11920838600
2013-12-13,562,572,561,566,27116400,15340838100
2013-12-12,583,585,561,567,38146100,21733358300
2013-12-11,575,596,567,585,89028300,51583141600
2013-12-10,535,563,533,559,59764500,33150285800
2013-12-9,518,546,517,530,60610000,32291310300
2013-12-6,492,498,487,498,13896300,6859336700
2013-12-5,497,500,485,487,10732600,5286640800
2013-12-4,495,500,490,497,17130200,8494187900
2013-12-3,497,500,492,493,10531600,5226408500
2013-12-2,500,501,491,496,8115300,4021320000
2013-11-29,495,498,491,494,9410100,4648337500
2013-11-28,488,491,485,491,5006500,2445268100
2013-11-27,483,489,480,481,6766100,3273624400
2013-11-26,486,490,484,486,7594700,3697118200
2013-11-25,499,499,488,490,9923500,4892112100
2013-11-22,502,503,489,496,12258800,6081952700
2013-11-21,499,502,495,502,11751600,5867393600
2013-11-20,498,503,494,497,18315400,9154061700
2013-11-19,490,497,485,495,25700200,12660754500
2013-11-18,477,492,473,489,29482100,14272212100
2013-11-15,467,471,464,469,12940300,6064877200
2013-11-14,474,479,464,466,15629000,7380085000
2013-11-13,477,480,467,471,9046000,4282646900
2013-11-12,471,474,465,474,8157100,3841539700
2013-11-11,475,478,469,472,10745100,5085249700
2013-11-8,459,470,456,467,14897000,6901340200
2013-11-7,474,476,462,464,17194900,8046114400
2013-11-6,474,490,466,473,35912100,17090086900
2013-11-5,443,474,442,473,43953500,20291489400
2013-11-1,455,457,427,435,42522100,18729869600
2013-10-31,467,477,456,457,19453800,9046980600
2013-10-30,481,484,468,470,15935800,7553019200
2013-10-29,486,487,467,475,26098100,12404479500
2013-10-28,505,509,485,490,24623900,12186235700
2013-10-25,507,513,500,501,13676800,6914508000
2013-10-24,507,517,505,514,11177000,5730873800
2013-10-23,521,523,504,506,17874700,9137164100
2013-10-22,507,523,505,519,22459400,11591028300
2013-10-21,509,511,503,503,10777700,5463865600
2013-10-18,505,510,502,504,11339000,5731639000
2013-10-17,512,513,500,503,18094600,9159009000
2013-10-16,502,508,493,505,19092500,9581578700
2013-10-15,502,504,491,494,25327000,12603905500
2013-10-11,523,526,498,502,25908800,13188044200
2013-10-10,535,539,513,515,21475500,11279463300
2013-10-9,519,525,491,515,46452000,23590290000
2013-10-8,522,540,507,535,52599400,27607304400
2013-10-7,555,583,550,572,14238700,8104937200
2013-10-4,556,564,550,559,6471000,3610159600
2013-10-3,547,565,546,559,8283000,4634346000
2013-10-2,565,568,551,556,6668100,3730327400
2013-10-1,555,570,553,565,7568100,4271011500
2013-9-30,553,562,548,557,6191300,3449035800
2013-9-27,560,571,555,563,9121000,5148605600
2013-9-26,550,560,541,559,4176700,2309471900
2013-9-25,56700,56700,54200,54300,84882,4676599600
2013-9-24,54600,57100,54500,56900,149651,8354213700
2013-9-20,54500,54800,54200,54600,49149,2681458000
2013-9-19,54500,54700,54000,54700,55985,3045958100
2013-9-18,53700,54400,53300,54300,74695,4035251000
2013-9-17,53500,54700,53000,53300,97911,5260852000
2013-9-13,50500,52900,50300,52500,140244,7272265600
2013-9-12,51400,51500,50300,50500,53269,2700594200
2013-9-11,52000,52100,51300,51400,49830,2574535100
2013-9-10,51800,52400,51400,52000,52541,2731691600
2013-9-9,51500,51900,50500,51600,70621,3627596200
2013-9-6,50500,50600,49550,49750,59904,2988621050
2013-9-5,49300,50300,49200,50200,62059,3094627500
2013-9-4,49450,49950,49000,49900,88547,4375625500
