3865-T,ìåèÿ1ïî,ñkâzãIèB,ì˙ë´
ì˙ït,éníl,çÇíl,à¿íl,èIíl,èoóàçÇ,îÑîÉë„ã‡
2014-06-27,452,453,445,446,832400,373140000
2014-06-26,460,460,450,451,1035900,469403000
2014-06-25,458,462,456,458,614500,281972500
2014-06-24,461,464,458,460,1001500,461016100
2014-06-23,463,467,459,460,1383200,639832700
2014-06-20,473,476,460,460,2054400,953764600
2014-06-19,471,481,471,477,1134100,541321300
2014-06-18,464,470,463,468,1061800,496026200
2014-06-17,461,470,460,462,1486500,689101000
2014-06-16,482,483,472,475,531900,253221500
2014-06-13,473,485,473,484,1328100,630785200
2014-06-12,484,486,475,481,601100,288526000
2014-06-11,482,490,482,489,662900,322228000
2014-06-10,492,495,485,490,677800,332347900
2014-06-09,501,506,495,496,491600,245276500
2014-06-06,493,500,489,499,543400,269888200
2014-06-05,497,498,488,493,647100,318338400
2014-06-04,494,497,489,494,478700,236168800
2014-06-03,508,509,497,500,785900,392851900
2014-06-02,504,507,499,503,723200,363432000
2014-05-30,508,509,490,496,985700,490675100
2014-05-29,510,517,505,515,1313900,673459300
2014-05-28,510,515,504,506,528000,268115700
2014-05-27,500,515,500,507,626700,318537400
2014-05-26,499,501,496,500,461400,230430100
2014-05-23,502,505,498,499,462800,231897200
2014-05-22,493,507,489,502,595400,298145500
2014-05-21,478,487,473,485,512400,246404600
2014-05-20,476,485,473,478,397900,190914500
2014-05-19,480,486,474,477,477400,229510100
2014-05-16,480,481,468,479,635100,302154000
2014-05-15,475,495,473,486,857900,416976100
2014-05-14,470,478,464,467,676200,318475900
2014-05-13,468,478,460,472,527200,249544300
2014-05-12,468,469,461,463,434700,201702900
2014-05-09,470,476,465,468,808800,379693000
2014-05-08,475,480,472,474,327200,155335100
2014-05-07,490,491,469,469,771200,366252900
2014-05-02,501,502,492,494,458200,227069400
2014-05-01,487,506,487,502,629200,314041000
2014-04-30,486,488,481,486,315000,152932200
2014-04-28,486,489,479,481,464300,223916600
2014-04-25,488,497,484,494,423600,208590800
2014-04-24,491,497,488,491,407700,200370500
2014-04-23,488,496,482,491,747800,367448700
2014-04-22,495,496,479,480,428900,208054500
2014-04-21,486,494,485,489,333400,163395200
2014-04-18,496,498,482,486,760900,371013600
2014-04-17,495,500,490,499,588900,292507400
2014-04-16,484,501,481,500,754400,373515600
2014-04-15,473,483,471,481,580600,277537700
2014-04-14,470,471,466,467,476200,222909800
2014-04-11,467,472,464,468,1585700,741179800
2014-04-10,485,486,473,475,625200,298520500
2014-04-09,496,496,479,480,756400,365644300
2014-04-08,497,500,489,496,631200,313240400
2014-04-07,503,503,494,497,538500,268048400
2014-04-04,500,507,500,504,402600,202664000
2014-04-03,497,506,494,503,899400,451284700
2014-04-02,500,508,491,498,1116800,559134800
2014-04-01,515,518,499,500,1398200,704663400
2014-03-31,514,520,508,518,954000,492283500
2014-03-28,519,527,515,517,1121500,583167000
2014-03-27,510,514,495,514,2006500,1015555500
2014-03-26,515,519,501,513,1727500,886313000
2014-03-25,505,517,499,505,2159500,1098363500
2014-03-24,485,502,479,496,2569000,1271270000
2014-03-20,485,485,474,477,1823500,871394000
2014-03-19,482,486,474,481,1251000,602365500
2014-03-18,475,480,469,477,1022500,485946000
2014-03-17,460,474,451,468,1336000,624801500
2014-03-14,470,474,465,468,3812500,1786709500
2014-03-13,471,479,469,473,761500,360668500
2014-03-12,475,475,466,468,952000,446565000
2014-03-11,477,481,476,481,974500,466699500
2014-03-10,472,476,467,471,706000,332101500
2014-03-07,476,478,469,475,1315500,622457000
2014-03-06,472,479,460,474,988000,468316500
2014-03-05,467,474,465,472,843500,397223500
2014-03-04,456,465,456,463,619000,285610500
2014-03-03,464,469,455,460,726500,332776500
2014-02-28,468,468,458,464,1197000,553802500
2014-02-27,469,477,464,472,885500,417274000
2014-02-26,461,473,459,469,965000,451967000
2014-02-25,465,472,463,469,1434000,671967000
2014-02-24,451,460,446,457,1144500,519756500
2014-02-21,445,458,445,457,1533500,692260500
2014-02-20,437,454,436,443,3476500,1549991500
2014-02-19,426,434,421,433,902500,387266500
2014-02-18,425,436,421,434,805000,346717000
2014-02-17,411,422,401,422,1038000,431298000
2014-02-14,428,432,406,415,2380000,994809500
2014-02-13,442,444,434,436,492000,215678000
2014-02-12,438,446,435,441,648500,286001500
2014-02-10,445,446,438,441,526500,232209500
2014-02-07,432,443,431,438,590500,259026000
2014-02-06,424,432,423,427,697000,297928000
2014-02-05,426,430,409,416,1379500,575664000
2014-02-04,435,437,417,418,1040500,440037500
2014-02-03,443,446,436,437,805000,354188500
2014-01-31,462,464,444,451,701000,316596500
2014-01-30,456,460,452,459,837000,382018000
2014-01-29,460,471,455,469,1161500,539697000
2014-01-28,444,451,439,449,1037000,462687000
2014-01-27,444,446,438,442,1103000,486859500
2014-01-24,460,462,450,456,1280000,583066500
2014-01-23,476,476,464,466,656500,307041000
2014-01-22,471,474,465,470,1015500,476706000
2014-01-21,477,481,473,474,805500,383876500
2014-01-20,466,474,464,473,914500,429524500
2014-01-17,463,467,458,464,906000,418521000
2014-01-16,472,478,462,466,924500,433245500
2014-01-15,463,476,462,476,935500,441828500
2014-01-14,468,470,456,457,1569000,726614000
2014-01-10,468,478,468,477,1734500,817825500
2014-01-09,478,482,469,474,1182000,559062000
2014-01-08,479,484,474,484,679500,325871000
2014-01-07,478,480,471,475,925000,439504500
2014-01-06,490,497,473,476,1670000,800223000
2013-12-30,497,502,493,495,934500,462848500
2013-12-27,504,509,497,500,586000,293596000
2013-12-26,495,503,489,500,922000,460844500
2013-12-25,487,495,486,494,798000,393028000
2013-12-24,489,494,483,485,1099500,536963000
2013-12-20,476,484,476,484,686500,330886500
2013-12-19,489,489,479,481,914000,441226500
2013-12-18,468,481,467,480,957500,457988500
2013-12-17,464,470,461,468,524500,245192000
2013-12-16,470,470,455,458,586500,270447500
2013-12-13,466,476,463,470,2582500,1207084500
2013-12-12,470,470,457,466,1134000,526205000
2013-12-11,475,477,467,472,1177000,554210000
2013-12-10,491,493,483,484,644000,313890000
2013-12-09,480,489,477,488,648500,314002500
2013-12-06,462,470,462,469,624500,291657000
2013-12-05,480,480,465,467,864000,406070500
2013-12-04,483,489,470,478,824500,394572000
2013-12-03,490,497,487,496,833500,412159500
2013-12-02,484,488,482,487,366000,177755500
2013-11-29,484,488,473,484,1124500,540725000
2013-11-28,479,491,477,490,875500,425210500
2013-11-27,471,478,467,471,815000,384905500
2013-11-26,476,483,474,474,662500,315095000
2013-11-25,478,486,476,484,774000,373756000
2013-11-22,482,483,468,470,1214000,575733500
2013-11-21,476,484,468,475,1365500,648041500
2013-11-20,473,475,468,471,735000,346425000
2013-11-19,476,479,467,468,1043500,490919500
2013-11-18,490,490,478,481,964000,465520000
2013-11-15,487,498,486,490,1368500,672897500
2013-11-14,459,482,455,476,1317500,623526500
2013-11-13,452,465,452,463,603500,277724500
2013-11-12,444,460,437,458,749500,339361000
2013-11-11,439,443,434,441,345000,151298500
2013-11-08,430,436,430,433,604500,261368500
2013-11-07,447,448,433,436,702500,307739000
2013-11-06,436,449,434,445,528500,233889500
2013-11-05,447,449,432,436,900000,394435500
2013-11-01,458,460,443,446,698000,312789000
2013-10-31,472,479,455,457,716500,334452000
2013-10-30,475,481,469,472,942500,445932500
2013-10-29,460,471,454,468,720500,336285500
2013-10-28,453,461,448,460,443500,202637500
2013-10-25,469,470,446,446,633000,286931000
2013-10-24,461,467,452,466,650500,298839500
2013-10-23,484,488,464,464,685500,324072500
2013-10-22,486,488,480,483,294500,142628500
2013-10-21,474,488,473,487,475500,230233000
2013-10-18,477,485,469,471,524500,249805000
2013-10-17,483,485,467,473,743500,352040000
2013-10-16,479,490,475,479,727500,350394500
2013-10-15,467,477,464,476,529500,249935500
2013-10-11,455,469,453,465,1241500,570958000
2013-10-10,447,449,440,445,401000,177959000
2013-10-09,439,445,439,444,568000,251832000
2013-10-08,429,445,429,439,798500,351169000
2013-10-07,436,438,427,428,520500,224052000
2013-10-04,432,441,431,434,690500,300674500
2013-10-03,451,455,435,435,1047500,460711000
2013-10-02,469,472,451,453,1023500,469085000
2013-10-01,464,468,457,464,362500,167845500
2013-09-30,479,479,462,464,450000,209737500
2013-09-27,477,479,467,478,692500,328160000
2013-09-26,457,476,446,476,679000,316112500
2013-09-25,470,470,456,457,670500,308670500
2013-09-24,465,470,458,467,405500,188917500
2013-09-20,464,467,461,464,473000,219689000
2013-09-19,463,469,456,468,650000,302180500
2013-09-18,453,460,448,452,496500,225561500
2013-09-17,455,456,446,446,396500,178409000
2013-09-13,447,455,444,453,1838500,822807000
2013-09-12,446,450,443,450,400500,179104000
2013-09-11,450,454,445,447,592500,265710500
2013-09-10,447,454,443,450,596000,267499000
2013-09-09,443,445,437,445,605000,267711000
2013-09-06,437,439,425,427,477500,204518000
2013-09-05,442,442,432,437,439500,192229500
2013-09-04,440,440,431,438,479500,208857000
2013-09-03,426,442,420,442,842500,368140500
2013-09-02,414,428,414,426,599500,253691500
2013-08-30,424,426,411,411,723500,300020000
2013-08-29,414,424,412,423,669000,280892500
2013-08-28,410,415,404,411,540000,221124500
2013-08-27,420,422,413,415,334500,139678000
2013-08-26,417,424,415,420,394000,165999000
2013-08-23,417,420,412,418,580500,241720000
2013-08-22,408,413,404,409,465000,189876000
2013-08-21,424,424,408,410,572000,235791500
2013-08-20,426,430,416,416,691500,291341500
2013-08-19,418,425,415,425,490500,206371500
2013-08-16,420,422,412,416,532500,221713000
2013-08-15,428,434,421,423,978500,416400000
2013-08-14,429,442,423,440,1436000,620160000
2013-08-13,423,450,423,448,728000,320135500
2013-08-12,425,428,424,426,365500,155613500
2013-08-09,429,436,426,435,1128000,486189500
2013-08-08,428,442,422,423,604500,260387000
2013-08-07,458,458,429,430,982000,431107000
2013-08-06,442,457,440,457,679000,305019500
2013-08-05,448,450,438,440,692500,306950500
2013-08-02,439,451,434,451,700000,311219500
2013-08-01,420,433,415,433,579000,246818000
2013-07-31,421,427,413,422,687500,289008500
2013-07-30,412,426,406,426,631500,265214500
2013-07-29,431,431,415,415,540500,227178500
2013-07-26,445,448,429,431,774500,335990000
2013-07-25,450,455,445,452,538500,243118500
2013-07-24,451,452,443,448,712500,318298000
2013-07-23,443,457,436,455,598500,270149500
2013-07-22,460,460,439,444,810000,360475500
2013-07-19,478,484,457,462,1082500,505668000
2013-07-18,458,478,458,478,1187000,560388000
2013-07-17,452,455,447,453,459000,207132500
