1,1301,東証1部,極洋
2,1305,東証,ダイワ上場投信-トピックス
3,1306,東証,TOPIX連動型上場投資信託
4,1308,東証,上場インデックスファンドTOPIX
5,1309,東証,上海株式指数・上証50連動型上場投資信託
6,1310,東証,ダイワ上場投信-トピックス・コア30
7,1311,東証,TOPIX Core 30 連動型上場投資信託
8,1312,東証,ラッセル野村小型コア・インデックス連動型上場投資信託
9,1313,東証,サムスンKODEX200証券上場指数投資信託
10,1314,東証,上場インデックスファンドS&P日本新興株100
11,1316,東証,上場インデックスファンドTOPIX100日本大型株
12,1317,東証,上場インデックスファンドTOPIX Mid400日本中型株
13,1318,東証,上場インデックスファンドTOPIX Small日本小型株
14,1319,東証,日経300株価指数連動型上場投資信託
15,1319,福証,日経300株価指数連動型上場投資信託
16,1319,札証,日経300株価指数連動型上場投資信託
17,1320,東証,ダイワ上場投信-日経225
18,1321,東証,日経225連動型上場投資信託
19,1322,東証,上場インデックスファンド中国A株（パンダ）CSI300
20,1323,東証,NEXT FUNDS 南アフリカ株式指数・FTSE/JSE Africa Top40連動型上場投信
21,1324,東証,NEXT FUNDS ロシア株式指数・RTS連動型上場投信
22,1325,東証,NEXT FUNDS ブラジル株式指数・ボベスパ連動型上場投信
23,1326,東証,SPDRゴールド・シェア
24,1327,東証,S&P GSCI商品指数キャップド･コンポーネント35/20･THEAM･イージーUCITS･ETFクラスA米ドル建
25,1328,東証,金価格連動型上場投資信託
26,1329,東証,iシェアーズ 日経225 ETF
27,1330,東証,上場インデックスファンド225
28,1332,東証1部,日本水産
29,1333,東証1部,マルハニチロ
30,1343,東証,NEXT FUNDS 東証REIT指数連動型上場投信
31,1344,東証,MAXIS トピックス・コア30上場投信
32,1345,東証,上場インデックスファンドJリート（東証REIT指数）隔月分配型
33,1346,東証,MAXIS 日経225上場投信
34,1347,東証,上場インデックスファンドFTSE日本グリーンチップ35
35,1348,東証,MAXIS トピックス上場投信
36,1349,東証,ABF汎アジア債券インデックス・ファンド
37,1352,東証1部,ホウスイ
38,1356,東証,TOPIXベア2倍上場投信
39,1376,JQスタンダード,カネコ種苗
40,1377,東証1部,サカタのタネ
41,1378,東証2部,雪国まいたけ
42,1379,東証1部,ホクト
43,1380,JQスタンダード,秋川牧園
44,1381,JQスタンダード,アクシーズ
45,1382,JQスタンダード,ホーブ
46,1383,JQスタンダード,ベルグアース
47,1400,JQグロース,ルーデン・ホールディングス
48,1401,福証Q-Board,エムビーエス
49,1405,東証2部,サーラ住宅
50,1407,JQスタンダード,ウエストホールディングス
51,1408,JQグロース,サムシングホールディングス
52,1414,東証1部,ショーボンドホールディングス
53,1417,東証1部,ミライト・ホールディングス
